city,country,year,city_temp,global_temp
Dublin,Ireland,1901,8.45,8.54
Dublin,Ireland,1902,8.39,8.30
Dublin,Ireland,1903,8.44,8.22
Dublin,Ireland,1904,8.45,8.09
Dublin,Ireland,1905,8.66,8.23
Dublin,Ireland,1906,8.62,8.38
Dublin,Ireland,1907,8.28,7.95
Dublin,Ireland,1908,8.95,8.19
Dublin,Ireland,1909,8.18,8.18
Dublin,Ireland,1910,8.48,8.22
Dublin,Ireland,1911,9.03,8.18
Dublin,Ireland,1912,8.52,8.17
Dublin,Ireland,1913,8.84,8.30
Dublin,Ireland,1914,9.05,8.59
Dublin,Ireland,1915,8.19,8.59
Dublin,Ireland,1916,8.66,8.23
Dublin,Ireland,1917,8.08,8.02
Dublin,Ireland,1918,8.85,8.13
Dublin,Ireland,1919,8.04,8.38
Dublin,Ireland,1920,8.94,8.36
Dublin,Ireland,1921,9.80,8.57
Dublin,Ireland,1922,8.25,8.41
Dublin,Ireland,1923,8.51,8.42
Dublin,Ireland,1924,8.69,8.51
Dublin,Ireland,1925,8.45,8.53
Dublin,Ireland,1926,9.08,8.73
Dublin,Ireland,1927,8.64,8.52
Dublin,Ireland,1928,8.83,8.63
Dublin,Ireland,1929,8.65,8.24
Dublin,Ireland,1930,8.59,8.63
Dublin,Ireland,1931,8.71,8.72
Dublin,Ireland,1932,8.99,8.71
Dublin,Ireland,1933,9.36,8.34
Dublin,Ireland,1934,9.36,8.63
Dublin,Ireland,1935,8.95,8.52
Dublin,Ireland,1936,8.83,8.55
Dublin,Ireland,1937,8.78,8.70
Dublin,Ireland,1938,9.35,8.86
Dublin,Ireland,1939,9.13,8.76
Dublin,Ireland,1940,8.87,8.76
Dublin,Ireland,1941,8.55,8.77
Dublin,Ireland,1942,8.71,8.73
Dublin,Ireland,1943,9.33,8.76
Dublin,Ireland,1944,9.07,8.85
Dublin,Ireland,1945,9.75,8.58
Dublin,Ireland,1946,8.82,8.68
Dublin,Ireland,1947,8.80,8.80
Dublin,Ireland,1948,9.34,8.75
Dublin,Ireland,1949,9.85,8.59
Dublin,Ireland,1950,8.70,8.37
Dublin,Ireland,1951,8.48,8.63
Dublin,Ireland,1952,8.56,8.64
Dublin,Ireland,1953,9.39,8.87
Dublin,Ireland,1954,8.67,8.56
Dublin,Ireland,1955,8.85,8.63
Dublin,Ireland,1956,8.66,8.28
Dublin,Ireland,1957,9.33,8.73
Dublin,Ireland,1958,8.91,8.77
Dublin,Ireland,1959,9.72,8.73
Dublin,Ireland,1960,8.98,8.58
Dublin,Ireland,1961,9.08,8.80
Dublin,Ireland,1962,8.24,8.75
Dublin,Ireland,1963,8.04,8.86
Dublin,Ireland,1964,8.99,8.41
Dublin,Ireland,1965,8.31,8.53
Dublin,Ireland,1966,8.88,8.60
Dublin,Ireland,1967,8.83,8.70
Dublin,Ireland,1968,8.85,8.52
Dublin,Ireland,1969,8.61,8.60
Dublin,Ireland,1970,8.94,8.70
Dublin,Ireland,1971,9.40,8.60
Dublin,Ireland,1972,8.56,8.50
Dublin,Ireland,1973,9.06,8.95
Dublin,Ireland,1974,8.76,8.47
Dublin,Ireland,1975,9.37,8.74
Dublin,Ireland,1976,9.16,8.35
Dublin,Ireland,1977,8.84,8.85
Dublin,Ireland,1978,8.89,8.69
Dublin,Ireland,1979,8.12,8.73
Dublin,Ireland,1980,8.85,8.98
Dublin,Ireland,1981,8.78,9.17
Dublin,Ireland,1982,9.08,8.64
Dublin,Ireland,1983,9.37,9.03
Dublin,Ireland,1984,9.07,8.69
Dublin,Ireland,1985,8.34,8.66
Dublin,Ireland,1986,8.03,8.83
Dublin,Ireland,1987,8.66,8.99
Dublin,Ireland,1988,9.16,9.20
Dublin,Ireland,1989,9.57,8.92
Dublin,Ireland,1990,9.59,9.23
Dublin,Ireland,1991,9.07,9.18
Dublin,Ireland,1992,9.07,8.84
Dublin,Ireland,1993,8.85,8.87
Dublin,Ireland,1994,9.13,9.04
Dublin,Ireland,1995,9.75,9.35
Dublin,Ireland,1996,8.85,9.04
Dublin,Ireland,1997,9.95,9.20
Dublin,Ireland,1998,9.71,9.52
Dublin,Ireland,1999,9.75,9.29
Dublin,Ireland,2000,9.43,9.20
Dublin,Ireland,2001,9.27,9.41
Dublin,Ireland,2002,9.75,9.57
Dublin,Ireland,2003,9.80,9.53
Dublin,Ireland,2004,9.77,9.32
Dublin,Ireland,2005,9.91,9.70
Dublin,Ireland,2006,10.00,9.53
Dublin,Ireland,2007,10.11,9.73
Dublin,Ireland,2008,9.42,9.43
Dublin,Ireland,2009,9.47,9.51
Dublin,Ireland,2010,8.38,9.70
Dublin,Ireland,2011,9.76,9.52
Dublin,Ireland,2012,9.28,9.51
Dublin,Ireland,2013,9.28,9.61
